Period,Sex,Age,Count
2010,Male,Infant,186
2010,Male,1–4,36
2010,Male,5–9,12
2010,Male,10–14,24
2010,Male,15–19,117
2010,Male,20–24,141
2010,Male,25–29,96
2010,Male,30–34,99
2010,Male,35–39,177
2010,Male,40–44,240
2010,Male,45–49,399
2010,Male,50–54,519
2010,Male,55–59,711
2010,Male,60–64,936
2010,Male,65–69,1197
2010,Male,70–74,1485
2010,Male,75–79,1896
2010,Male,80–84,2469
2010,Male,85–89,2085
2010,Male,90–94,1044
2010,Male,95–99,318
2010,Male,"100 and over",39
2010,Female,Infant,141
2010,Female,1–4,30
2010,Female,5–9,6
2010,Female,10–14,18
2010,Female,15–19,51
2010,Female,20–24,51
2010,Female,25–29,57
2010,Female,30–34,75
2010,Female,35–39,108
2010,Female,40–44,189
2010,Female,45–49,285
2010,Female,50–54,369
2010,Female,55–59,462
2010,Female,60–64,684
2010,Female,65–69,855
2010,Female,70–74,1095
2010,Female,75–79,1455
2010,Female,80–84,2271
2010,Female,85–89,2835
2010,Female,90–94,2124
2010,Female,95–99,894
2010,Female,"100 and over",165
2011,Male,Infant,168
2011,Male,1–4,36
2011,Male,5–9,6
2011,Male,10–14,27
2011,Male,15–19,126
2011,Male,20–24,147
2011,Male,25–29,111
2011,Male,30–34,123
2011,Male,35–39,147
2011,Male,40–44,258
2011,Male,45–49,342
2011,Male,50–54,498
2011,Male,55–59,738
2011,Male,60–64,981
2011,Male,65–69,1233
2011,Male,70–74,1584
2011,Male,75–79,1971
2011,Male,80–84,2502
2011,Male,85–89,2286
2011,Male,90–94,1173
2011,Male,95–99,327
2011,Male,"100 and over",39
2011,Female,Infant,120
2011,Female,1–4,18
2011,Female,5–9,9
2011,Female,10–14,15
2011,Female,15–19,48
2011,Female,20–24,78
2011,Female,25–29,66
2011,Female,30–34,81
2011,Female,35–39,117
2011,Female,40–44,180
2011,Female,45–49,270
2011,Female,50–54,366
2011,Female,55–59,492
2011,Female,60–64,726
2011,Female,65–69,945
2011,Female,70–74,1167
2011,Female,75–79,1512
2011,Female,80–84,2349
2011,Female,85–89,3051
2011,Female,90–94,2457
2011,Female,95–99,999
2011,Female,"100 and over",189
2012,Male,Infant,144
2012,Male,1–4,33
2012,Male,5–9,18
2012,Male,10–14,30
2012,Male,15–19,117
2012,Male,20–24,135
2012,Male,25–29,120
2012,Male,30–34,93
2012,Male,35–39,147
2012,Male,40–44,237
2012,Male,45–49,369
2012,Male,50–54,531
2012,Male,55–59,675
2012,Male,60–64,963
2012,Male,65–69,1290
2012,Male,70–74,1659
2012,Male,75–79,1905
2012,Male,80–84,2541
2012,Male,85–89,2415
2012,Male,90–94,1251
2012,Male,95–99,351
2012,Male,"100 and over",33
2012,Female,Infant,114
2012,Female,1–4,30
2012,Female,5–9,12
2012,Female,10–14,18
2012,Female,15–19,54
2012,Female,20–24,54
2012,Female,25–29,36
2012,Female,30–34,78
2012,Female,35–39,87
2012,Female,40–44,180
2012,Female,45–49,297
2012,Female,50–54,405
2012,Female,55–59,456
2012,Female,60–64,669
2012,Female,65–69,864
2012,Female,70–74,1164
2012,Female,75–79,1524
2012,Female,80–84,2256
2012,Female,85–89,3006
2012,Female,90–94,2484
2012,Female,95–99,1062
2012,Female,"100 and over",189
2013,Male,Infant,147
2013,Male,1–4,24
2013,Male,5–9,12
2013,Male,10–14,15
2013,Male,15–19,102
2013,Male,20–24,126
2013,Male,25–29,102
2013,Male,30–34,93
2013,Male,35–39,144
2013,Male,40–44,228
2013,Male,45–49,360
2013,Male,50–54,534
2013,Male,55–59,717
2013,Male,60–64,936
2013,Male,65–69,1278
2013,Male,70–74,1668
2013,Male,75–79,1905
2013,Male,80–84,2457
2013,Male,85–89,2460
2013,Male,90–94,1215
2013,Male,95–99,342
2013,Male,"100 and over",63
2013,Female,Infant,114
2013,Female,1–4,27
2013,Female,5–9,12
2013,Female,10–14,18
2013,Female,15–19,48
2013,Female,20–24,45
2013,Female,25–29,39
2013,Female,30–34,66
2013,Female,35–39,96
2013,Female,40–44,168
2013,Female,45–49,258
2013,Female,50–54,435
2013,Female,55–59,486
2013,Female,60–64,708
2013,Female,65–69,906
2013,Female,70–74,1140
2013,Female,75–79,1536
2013,Female,80–84,2145
2013,Female,85–89,2877
2013,Female,90–94,2334
2013,Female,95–99,993
2013,Female,"100 and over",189
2014,Male,Infant,180
2014,Male,1–4,30
2014,Male,5–9,27
2014,Male,10–14,15
2014,Male,15–19,90
2014,Male,20–24,120
2014,Male,25–29,102
2014,Male,30–34,111
2014,Male,35–39,150
2014,Male,40–44,219
2014,Male,45–49,342
2014,Male,50–54,564
2014,Male,55–59,705
2014,Male,60–64,951
2014,Male,65–69,1392
2014,Male,70–74,1656
2014,Male,75–79,1986
2014,Male,80–84,2508
2014,Male,85–89,2541
2014,Male,90–94,1509
2014,Male,95–99,411
2014,Male,"100 and over",48
2014,Female,Infant,144
2014,Female,1–4,24
2014,Female,5–9,9
2014,Female,10–14,12
2014,Female,15–19,33
2014,Female,20–24,39
2014,Female,25–29,51
2014,Female,30–34,54
2014,Female,35–39,78
2014,Female,40–44,168
2014,Female,45–49,240
2014,Female,50–54,414
2014,Female,55–59,549
2014,Female,60–64,717
2014,Female,65–69,915
2014,Female,70–74,1188
2014,Female,75–79,1611
2014,Female,80–84,2355
2014,Female,85–89,2958
2014,Female,90–94,2595
2014,Female,95–99,1050
2014,Female,"100 and over",201
2015,Male,Infant,129
2015,Male,1–4,30
2015,Male,5–9,18
2015,Male,10–14,24
2015,Male,15–19,96
2015,Male,20–24,132
2015,Male,25–29,117
2015,Male,30–34,111
2015,Male,35–39,126
2015,Male,40–44,213
2015,Male,45–49,339
2015,Male,50–54,516
2015,Male,55–59,723
2015,Male,60–64,990
2015,Male,65–69,1401
2015,Male,70–74,1761
2015,Male,75–79,2052
2015,Male,80–84,2454
2015,Male,85–89,2562
2015,Male,90–94,1554
2015,Male,95–99,408
2015,Male,"100 and over",57
2015,Female,Infant,123
2015,Female,1–4,24
2015,Female,5–9,12
2015,Female,10–14,15
2015,Female,15–19,45
2015,Female,20–24,48
2015,Female,25–29,51
2015,Female,30–34,66
2015,Female,35–39,87
2015,Female,40–44,156
2015,Female,45–49,282
2015,Female,50–54,420
2015,Female,55–59,522
2015,Female,60–64,669
2015,Female,65–69,1014
2015,Female,70–74,1242
2015,Female,75–79,1686
2015,Female,80–84,2358
2015,Female,85–89,2940
2015,Female,90–94,2697
2015,Female,95–99,1113
2015,Female,"100 and over",231
2016,Male,Infant,111
2016,Male,1–4,27
2016,Male,5–9,21
2016,Male,10–14,21
2016,Male,15–19,87
2016,Male,20–24,117
2016,Male,25–29,132
2016,Male,30–34,123
2016,Male,35–39,135
2016,Male,40–44,222
2016,Male,45–49,339
2016,Male,50–54,549
2016,Male,55–59,801
2016,Male,60–64,990
2016,Male,65–69,1419
2016,Male,70–74,1626
2016,Male,75–79,2058
2016,Male,80–84,2412
2016,Male,85–89,2559
2016,Male,90–94,1572
2016,Male,95–99,432
2016,Male,"100 and over",51
2016,Female,Infant,102
2016,Female,1–4,12
2016,Female,5–9,18
2016,Female,10–14,12
2016,Female,15–19,39
2016,Female,20–24,51
2016,Female,25–29,57
2016,Female,30–34,72
2016,Female,35–39,84
2016,Female,40–44,162
2016,Female,45–49,255
2016,Female,50–54,408
2016,Female,55–59,558
2016,Female,60–64,687
2016,Female,65–69,981
2016,Female,70–74,1182
2016,Female,75–79,1620
2016,Female,80–84,2178
2016,Female,85–89,2946
2016,Female,90–94,2583
2016,Female,95–99,1155
2016,Female,"100 and over",234
2017,Male,Infant,120
2017,Male,1–4,27
2017,Male,5–9,15
2017,Male,10–14,21
2017,Male,15–19,81
2017,Male,20–24,141
2017,Male,25–29,159
2017,Male,30–34,138
2017,Male,35–39,156
2017,Male,40–44,234
2017,Male,45–49,369
2017,Male,50–54,549
2017,Male,55–59,768
2017,Male,60–64,1077
2017,Male,65–69,1422
2017,Male,70–74,1758
2017,Male,75–79,2280
2017,Male,80–84,2538
2017,Male,85–89,2745
2017,Male,90–94,1671
2017,Male,95–99,501
2017,Male,"100 and over",75
2017,Female,Infant,108
2017,Female,1–4,18
2017,Female,5–9,15
2017,Female,10–14,12
2017,Female,15–19,48
2017,Female,20–24,63
2017,Female,25–29,60
2017,Female,30–34,78
2017,Female,35–39,108
2017,Female,40–44,117
2017,Female,45–49,261
2017,Female,50–54,396
2017,Female,55–59,579
2017,Female,60–64,747
2017,Female,65–69,1029
2017,Female,70–74,1368
2017,Female,75–79,1845
2017,Female,80–84,2328
2017,Female,85–89,3132
2017,Female,90–94,2745
2017,Female,95–99,1230
2017,Female,"100 and over",207
2018,Male,Infant,117
2018,Male,1–4,27
2018,Male,5–9,15
2018,Male,10–14,21
2018,Male,15–19,96
2018,Male,20–24,138
2018,Male,25–29,135
2018,Male,30–34,147
2018,Male,35–39,147
2018,Male,40–44,225
2018,Male,45–49,336
2018,Male,50–54,540
2018,Male,55–59,858
2018,Male,60–64,1080
2018,Male,65–69,1386
2018,Male,70–74,1845
2018,Male,75–79,2247
2018,Male,80–84,2610
2018,Male,85–89,2673
2018,Male,90–94,1809
2018,Male,95–99,486
2018,Male,"100 and over",48
2018,Female,Infant,105
2018,Female,1–4,27
2018,Female,5–9,12
2018,Female,10–14,24
2018,Female,15–19,42
2018,Female,20–24,54
2018,Female,25–29,69
2018,Female,30–34,81
2018,Female,35–39,111
2018,Female,40–44,144
2018,Female,45–49,240
2018,Female,50–54,396
2018,Female,55–59,585
2018,Female,60–64,753
2018,Female,65–69,1017
2018,Female,70–74,1356
2018,Female,75–79,1752
2018,Female,80–84,2265
2018,Female,85–89,2961
2018,Female,90–94,2784
2018,Female,95–99,1197
2018,Female,"100 and over",261
2019,Male,Infant,144
2019,Male,1–4,30
2019,Male,5–9,15
2019,Male,10–14,30
2019,Male,15–19,87
2019,Male,20–24,150
2019,Male,25–29,153
2019,Male,30–34,174
2019,Male,35–39,183
2019,Male,40–44,207
2019,Male,45–49,366
2019,Male,50–54,588
2019,Male,55–59,867
2019,Male,60–64,1062
2019,Male,65–69,1452
2019,Male,70–74,1974
2019,Male,75–79,2337
2019,Male,80–84,2565
2019,Male,85–89,2805
2019,Male,90–94,1785
2019,Male,95–99,552
2019,Male,"100 and over",54
2019,Female,Infant,126
2019,Female,1–4,24
2019,Female,5–9,12
2019,Female,10–14,24
2019,Female,15–19,45
2019,Female,20–24,54
2019,Female,25–29,60
2019,Female,30–34,87
2019,Female,35–39,84
2019,Female,40–44,159
2019,Female,45–49,282
2019,Female,50–54,399
2019,Female,55–59,564
2019,Female,60–64,756
2019,Female,65–69,1017
2019,Female,70–74,1395
2019,Female,75–79,1773
2019,Female,80–84,2316
2019,Female,85–89,3084
2019,Female,90–94,2814
2019,Female,95–99,1338
2019,Female,"100 and over",267
2020,Male,Infant,132
2020,Male,1–4,18
2020,Male,5–9,21
2020,Male,10–14,27
2020,Male,15–19,78
2020,Male,20–24,111
2020,Male,25–29,141
2020,Male,30–34,129
2020,Male,35–39,159
2020,Male,40–44,219
2020,Male,45–49,369
2020,Male,50–54,525
2020,Male,55–59,768
2020,Male,60–64,1071
2020,Male,65–69,1404
2020,Male,70–74,1905
2020,Male,75–79,2331
2020,Male,80–84,2589
2020,Male,85–89,2523
2020,Male,90–94,1770
2020,Male,95–99,537
2020,Male,"100 and over",72
2020,Female,Infant,93
2020,Female,1–4,18
2020,Female,5–9,3
2020,Female,10–14,18
2020,Female,15–19,48
2020,Female,20–24,60
2020,Female,25–29,63
2020,Female,30–34,72
2020,Female,35–39,99
2020,Female,40–44,135
2020,Female,45–49,228
2020,Female,50–54,393
2020,Female,55–59,624
2020,Female,60–64,735
2020,Female,65–69,1011
2020,Female,70–74,1362
2020,Female,75–79,1686
2020,Female,80–84,2244
2020,Female,85–89,2760
2020,Female,90–94,2541
2020,Female,95–99,1263
2020,Female,"100 and over",249
2021,Male,Infant,165
2021,Male,1–4,15
2021,Male,5–9,12
2021,Male,10–14,24
2021,Male,15–19,81
2021,Male,20–24,123
2021,Male,25–29,132
2021,Male,30–34,177
2021,Male,35–39,177
2021,Male,40–44,234
2021,Male,45–49,321
2021,Male,50–54,570
2021,Male,55–59,831
2021,Male,60–64,1092
2021,Male,65–69,1479
2021,Male,70–74,2004
2021,Male,75–79,2373
2021,Male,80–84,2769
2021,Male,85–89,2757
2021,Male,90–94,1935
2021,Male,95–99,651
2021,Male,"100 and over",84
2021,Female,Infant,108
2021,Female,1–4,30
2021,Female,5–9,12
2021,Female,10–14,21
2021,Female,15–19,51
2021,Female,20–24,54
2021,Female,25–29,60
2021,Female,30–34,63
2021,Female,35–39,105
2021,Female,40–44,153
2021,Female,45–49,222
2021,Female,50–54,399
2021,Female,55–59,567
2021,Female,60–64,828
2021,Female,65–69,1011
2021,Female,70–74,1479
2021,Female,75–79,1830
2021,Female,80–84,2550
2021,Female,85–89,2901
2021,Female,90–94,2835
2021,Female,95–99,1383
2021,Female,"100 and over",264
